,prediction
0,24.32342378219304
1,25.982951569064813
2,21.753227443684395
3,10.422313873923219
4,20.95364676512735
5,20.879744949994894
6,20.70800490303544
7,20.944454625574462
8,20.671550397117315
9,19.767393320552024
10,8.66659241307304
11,14.085465327690656
12,14.920200019409684
13,8.774711503531732
14,47.859541666666665
15,33.55212933445497
16,20.99492255162111
17,35.048584711341405
18,25.400577400990006
19,21.412277034078507
20,23.733801429690693
21,20.875234940905514
22,19.98482100535658
23,24.13334354348684
24,20.761648350736586
25,18.82129948895692
26,19.259534203055413
27,15.99588125223684
28,43.33879653679655
29,18.609637190440214
30,15.101862871038389
31,17.589051234815017
32,21.13170349834838
33,21.267446656466674
34,23.240912417719613
35,17.1062759821677
36,8.70373067023459
37,24.70856027069184
38,14.515112441034027
39,14.565496708875358
40,22.57036428630974
41,20.981129121651737
42,22.99247236084274
43,15.071768043680317
44,23.714001472155605
45,22.758546924083134
46,20.55162068695878
47,16.84305868233081
48,15.873829476021228
49,24.745222726636108
50,17.194163260080053
51,19.26362831011502
52,21.621072286365834
53,40.713442857142844
54,15.11265818975248
55,20.195268538662805
56,20.46134353099409
57,19.91008184819572
58,21.474126390997277
59,19.87780934137917
60,22.078956933388678
61,20.90981715930892
62,31.98971221883837
63,27.607365352515718
64,18.558271088786064
65,27.258501368274985
66,16.699302573747204
67,18.504953682259252
68,17.503541190835307
69,21.120642236559743
70,20.620078976382178
71,22.47511799604542
72,24.77031825858143
73,30.37656174697674
74,27.022253673342615
75,8.933702618093497
76,42.325201587301564
77,21.612259958521978
78,23.34833502996123
79,20.425652971352786
80,26.37259034927373
81,18.231323772816413
82,21.126728898876717
83,42.07480844155842
84,41.19879653679651
85,23.817935224913075
86,23.283503705914942
87,14.786922372429908
88,25.64063314499419
89,16.22376615551349
90,20.09878991520492
91,12.050886552154696
92,23.135358598657408
93,30.224171820941642
94,21.66496292569219
95,21.76357298664321
96,11.885165609260019
97,23.514328394223227
98,15.10671848071032
99,19.985254787513735
100,22.96914243625721
101,19.99164622947779
102,27.740177445461782
103,21.145964583444396
104,27.31981555608351
105,20.90033652057104
106,8.521706861853426
107,19.320922424079285
108,21.814808524874906
109,23.211201039376387
110,32.87093759444777
111,13.23541541909355
112,18.58688329548228
113,19.163658879587413
114,18.124812731052696
115,20.981433456937093
116,9.764977993420803
117,20.14808285744614
118,10.05966353113376
119,46.7199261904762
120,29.771291009164383
121,10.287295508013349
122,19.181314470299085
123,20.82143647566923
124,21.17066556387488
125,18.42579154840261
126,34.66859499884428
